NRO,sukunimi,etunimet,ehdokasnimi,liitto
767,Latvakoski,Niko Matias,"Latvakoski, Niko",PPO
768,Salin,Noora Heloisa,"Salin, Noora",PPO
769,Kronqvist,Otto Jaakko,"Kronqvist, Otto",PPO
770,Ståhlberg,Panu Kaarlo,"Ståhlberg, Panu",PPO
771,Sipilä,Pekka Johannes,"Sipilä, Pekka",PPO
772,Salomaa,Riikka-Liisa Tellervo,"Salomaa, Riikka-Liisa",PPO
773,Huotari,Satu Elina,"Huotari, Satu",PPO
774,Savonen,Sonia Mirka Paulina,"Savonen, Sonia",PPO
775,Madetoja,Sonja Maaria,"Madetoja, Sonja",PPO
776,Lohiniva,Suvi-Riikka Johanna,"Lohiniva, Suvi",PPO
777,Mustonen,Terhi Tuulikki,"Mustonen, Terhi",PPO
778,Tuulos,Tiina Tytti,"Tuulos, Tiina",PPO
779,Haaja,Tommi Petteri,"Haaja, Tommi",PPO
780,Tuppurainen,Ville Oskari,"Tuppurainen, Ville",PPO
781,Viljamaa,Visa Veikko,"Viljamaa, Visa",PPO
782,Ahokas,Lari Pekka Jaakkima,"Ahokas, Lari",Humanistit
783,Björklund,Heta Kristiina,"Björklund, Heta",Humanistit
784,Gylling,Elisa Annina,"Gylling, Elisa",Humanistit
785,Hakamies,Inkeri Eeva Helena,"Hakamies, Inkeri",Humanistit
786,Hario,Pasi Sakari,"Hario, Pasi",Humanistit
787,Heikkinen,Irina Saana Susanna,"Heikkinen, Irina",Humanistit
788,Heiskanen,Essi Johanna,"Heiskanen, Essi",Humanistit
789,Heiskari,Lari Tapio,"Heiskari, Tapio",Humanistit
790,Kallio,Lauri Johannes,"Kallio, Lauri",Humanistit
791,Kankaanranta,Hennileena Sofia,"Kankaanranta, Hennileena",Humanistit
792,Karhumäki,Matti Johannes,"Karhumäki, Matti",Humanistit
793,Kinnunen,Jukka Juhani,"Kinnunen, Jukka",Humanistit
794,Kiviharju,Anne Katariina,"Kiviharju, Anne",Humanistit
795,Korolainen-Virkajärvi,Katri Inkeri,"Korolainen-Virkajärvi, Katri",Humanistit
796,Koutonen,Tatu Iivari,"Koutonen, Iivari",Humanistit
797,Kölhi,Jaakko Aleksanteri,"Kölhi, Jaakko",Humanistit
798,Laakso,Suvi Tuuli,"Laakso, Suvi",Humanistit
799,Lavikainen,Jouni Ilari,"Lavikainen, Jouni",Humanistit
800,Leinonen,Petri Juhani,"Leinonen, Petri",Humanistit
801,Leminen,Teemu Antti Valtteri,"Leminen, Teemu",Humanistit
802,Lindholm,Anni Emilia,"Lindholm, Anni",Humanistit
803,Lyytinen,Emilia Helena,"Lyytinen, Emilia",Humanistit
804,Lätti,Niina Mirjami,"Lätti, Niina",Humanistit
805,Maeda,Emi Teresa,"Maeda, Emi",Humanistit
806,Miettunen,Sara Sisko Pilvikki,"Miettunen, Sara",Humanistit
807,Mikkonen,Maria Emilia,"Mikkonen, Maria",Humanistit
808,Peltonen,Elina Kristiina,"Peltonen, Elina",Humanistit
809,Pynttäri,Antti Tapani,"Pynttäri, Antti",Humanistit
810,Rajamäki,Anni Talvikki,"Rajamäki, Anni",Humanistit
811,Rask,Magnus Edward,"Rask, Magnus",Humanistit
812,Renvall,Matti Tuomas,"Renvall, Tuomas",Humanistit
813,Soudunsaari,Jaakko Pekka Juhana,"Soudunsaari, Jaakko",Humanistit
814,Thilman,Svante Fredrik Gustaf,"Thilman, Svante",Humanistit
815,Tiihonen,Risto Juhani,"Tiihonen, Risto",Humanistit
816,Tujula,Matti-Pekka Kalevi,"Tujula, Matti",Humanistit
817,Töyrylä,Juha Ensio,"Töyrylä, Juha",Humanistit
818,Virta,Sonja Aino Elina,"Virta, Sonja",Humanistit
819,Väänänen,Aino-Reetta Aleksandra,"Väänänen, Aino",Humanistit
820,Ylitalo,Anna Katariina,"Ylitalo, Anna",Humanistit
821,Ylitalo,Turo Johannes,"Ylitalo, Turo",Humanistit
822,Aalto,Laura Jannica,"Aalto, Jannica",Kumpula
823,Alkio,Sini Maria,"Alkio, Sini",Kumpula
824,Hynönen,Reko Heikki Pellervo,"Hynönen, Reko",Kumpula
825,Järvinen,Terhi Tuuli,"Järvinen, Terhi",Kumpula
826,Karinkanta,Risto Eemeli,"Karinkanta, Risto",Kumpula
827,Käkelä,Matias Paavali,"Käkelä, Matias",Kumpula
828,Lahtinen,Merli Karoliina,"Lahtinen, Merli",Kumpula
829,Lahtinen,Tiera Olavi,"Lahtinen, Tilli",Kumpula
830,Lehtimäki,Marko Johannes,"Lehtimäki, Marko",Kumpula
831,McKee,Jason Robert,"McKee, Jason",Kumpula
832,Muhonen,Eija Maarit Sofia,"Muhonen, Eija",Kumpula
833,Penttilä,Markus Erkki Tapani,"Penttilä, Markus",Kumpula
834,Rantala,Pekka Antti Ilmari,"Rantala, Pekka",Kumpula
835,Rantanen,Sami Edvard,"Rantanen, Sami",Kumpula
836,Särkikoski,Sanna Marjaana,"Särkikoski, Sanna",Kumpula
837,Teikari,Ilmo Werner,"Teikari, Ilmo",Kumpula
838,Tupala,Jere Olavi,"Tupala, Jere",Kumpula
839,Fast,Tommi Johannes,"Fast, Tommi 'Tommy'",Käyttis
840,Hietajärvi,Lauri Ville Oskari,"Hietajärvi, Lauri",Käyttis
841,Koivisto,Eero-Matti Olavi,"Koivisto, Eero-Matti 'Ere'",Käyttis
842,Lampinen,Marina,"Lampinen, Marina",Käyttis
843,Laurila,Sonja Annika,"Laurila, Sonja",Käyttis
844,Myllyntausta,Saara Johanna,"Myllyntausta, Saara",Käyttis
845,Nurmi,Reetta-Maija Karoliina,"Nurmi, Reetta",Käyttis
846,Pulkkinen,Suvi Saara Maria,"Pulkkinen, Suvi",Käyttis
847,Pöyhönen,Perttu Olavi Jaakonpoika,"Pöyhönen, Perttu",Käyttis
848,Rautio,Tiina Kaarina,"Rautio, Tiina",Käyttis
849,Rinnetmäki,Veli-Matti,"Rinnetmäki, Veli-Matti 'Velkka'",Käyttis
850,Ropponen,Markus Jouko Juhana,"Ropponen, Markus",Käyttis
851,Aaltonen,Mikko Antero,"Aaltonen, Mikko",Teologit
852,Beckmann,Ida Maria,"Beckmann, Ida",Teologit
853,Elomaa,Laura Maria,"Elomaa, Laura",Teologit
854,Engström,Vesa Juhani Kristian,"Engström, Vesa",Teologit
855,Haapa-aho,Riitta Sannaliisa,"Haapa-aho, Riitta",Teologit
856,Hautala,Minna Marita,"Hautala, Minna",Teologit
857,Hillberg,Milla Mari,"Hillberg, Milla",Teologit
858,Huhtasalo,Ilari Matti Olavi,"Huhtasalo, Ilari",Teologit
859,Häkkinen,Marie Anneli,"Häkkinen, Marie",Teologit
860,Jurva,Saara-Maria,"Jurva, Saara-Maria",Teologit
861,Kotisaari,Tuuli Maria,"Kotisaari, Tuuli",Teologit
862,Kouvola,Helena Karolina,"Kouvola, Karolina",Teologit
863,Laitinen,Jussi Antero,"Laitinen, Jussi",Teologit
864,Leinonen,Juha Erkki Tapio,"Leinonen, Juha",Teologit
865,Leinonen,Tapio Henrikki,"Leinonen, Tapio",Teologit
866,Leipakka,Laura Helena,"Leipakka, Laura",Teologit
867,Lemmetyinen,Simo Rafael,"Lemmetyinen, Simo",Teologit
868,Nykänen,Saara Ilona,"Nykänen, Saara",Teologit
869,Oksanen,Minna Hannele,"Oksanen, Minna",Teologit
870,Peltola,Jukka Tapio,"Peltola, Jukka",Teologit
871,Puumala,Jenni Karoliina,"Puumala, Jenni",Teologit
872,Rajatalo,Joonas Jalmari,"Rajatalo, Joonas 'Jallu'",Teologit
873,Saarela,Veronica Anna Patricia,"Saarela, Veronica",Teologit
874,Similä,Sakari Henrik,"Similä, Sakari 'Sakke'",Teologit
875,Toivonen,Niilo Akseli Markunpoika,"Toivonen, Niilo",Teologit
876,Trogen,Tiia Johanna,"Trogen, Tiia",Teologit
877,Helminen,Tuomas Hermanni,"Helminen, Tuomas",Valtiotieteilijät
878,Hovi,Jaakko Matias,"Hovi, Jaakko",Valtiotieteilijät
879,Hämäläinen,Hanne Maaret Ilona,"Hämäläinen, Hanne",Valtiotieteilijät
880,Jyllikoski,Daniel Alexandr,"Jyllikoski, Daniel",Valtiotieteilijät
881,Karjalainen,Joni Pekka Hemminki,"Karjalainen, Joni",Valtiotieteilijät
882,Koponen,Eija-Leena,"Koponen, Eija-Leena",Valtiotieteilijät
883,Koskela,Katri Marianna,"Koskela, Katri",Valtiotieteilijät
884,Kostiainen,Aura Iiris Sofia,"Kostiainen, Aura",Valtiotieteilijät
885,Kulmala,Ifeoma Emmi Mirjami,"Kulmala, Ifeoma",Valtiotieteilijät
886,Miettinen,Elina Anniina,"Miettinen, Elina",Valtiotieteilijät
887,Sarhimaa,Jutta Marinella,"Sarhimaa, Jutta",Valtiotieteilijät
888,Stenbäck,Paul John Bernhard,"Stenbäck, Paul",Valtiotieteilijät
889,Suvitie,Aarni Lassi Valtteri,"Suvitie, Aarni",Valtiotieteilijät
890,Syrman,Simo Valtteri,"Syrman, Simo",Valtiotieteilijät
891,Toroskainen,Kaisa Johanna,"Toroskainen, Kaisa",Valtiotieteilijät
892,Virta,Mikko Antero,"Virta, Mikko",Valtiotieteilijät
893,Aarnio,Jouni Pekka,"Aarnio, Jouni",Viikki
894,Esteban Lasikari,Joel Alberti,"Esteban Lasikari, Joel",Viikki
895,Front,Eero Petteri,"Front, Petteri",Viikki
896,Hakala,Markku Kasperi,"Hakala, Markku",Viikki
897,Hyvärinen,Laura Kristiina,"Hyvärinen, Laura",Viikki
898,Hämäläinen,Iiro Mikael,"Hämäläinen, Iiro",Viikki
899,Kaloinen,Jaakko Johannes,"Kaloinen, Jaakko",Viikki
900,Kauko,Hanna Maria,"Kauko, Hanna",Viikki
901,Kinnunen,Jyrki Pekko,"Kinnunen, Jyrki",Viikki
902,Korhonen,Anni Kristiina,"Korhonen, Anni",Viikki
903,Kyllönen,Anjuska Marianne,"Kyllönen, Anjuska",Viikki
904,Malmberg,Markus Erik,"Malmberg, Markus",Viikki
905,Martikainen,Alpo Jalmari,"Martikainen, Alpo",Viikki
906,Peltoniemi,Pasi Matias,"Peltoniemi, Pasi",Viikki
907,Virkajärvi,Vertti Sakari,"Virkajärvi, Vertti",Viikki
908,Vähämaa,Ilkka Kristian,"Vähämaa, Ilkka",Viikki
909,Lohenoja,Jaakko Johannes,"Lohenoja, Jaakko",Itsenäinen ehdokas 1
